"Year","RecreationVisits"
"1979","2350782"
"1980","2490282"
"1981","2516893"
"1982","2415587"
"1983","2457464"
"1984","2738467"
"1985","2831952"
"1986","2876717"
"1987","3152275"
"1988","3216681"
"1989","3308159"
"1990","3124939"
"1991","3423101"
"1992","3819518"
"1993","3839645"
"1994","3962117"
"1995","3958406"
"1996","4046207"
"1997","3669970"
"1998","3657132"
"1999","3493607"
"2000","3400903"
"2001","3368731"
"2002","3361867"
"2003","3378664"
"2004","3280911"
"2005","3304144"
"2006","3242644"
"2007","3503428"
"2008","3431514"
"2009","3737472"
"2010","3901408"
"2011","3951393"
"2012","3853404"
"2013","3691191"
"2014","3882642"
"2015","4150217"
"2016","5028868"
"2017","4336890"
"2018","4009436"
"2019","4422861"
"2020","2268313"
"2021","3287595"
"2022","3667550"
"2023","3897070"
"2024","4121807"
